tag,count,pct_freq
Array,1889,0.17601565411852405
String,764,0.07118896757361162
Hash Table,690,0.06429370108087962
Math,572,0.05329854640327991
Dynamic Programming,560,0.05218039508013418
Sorting,447,0.04165113678717853
Greedy,417,0.038855758479314204
Depth-First Search,315,0.029351472232575476
Binary Search,306,0.028512858740216175
Matrix,253,0.02357435706298919
Breadth-First Search,247,0.023015281401416326
Bit Manipulation,237,0.022083488632128216
Tree,234,0.02180395080134178
Two Pointers,213,0.01984718598583675
Prefix Sum,210,0.019567648155050316
Database,195,0.01816995900111815
Heap (Priority Queue),191,0.017797241893402906
Simulation,174,0.01621319418561312
Binary Tree,169,0.015747297800969066
Stack,168,0.015654118524040254
Counting,167,0.015560939247111442
Graph,156,0.014535967200894522
Sliding Window,146,0.01360417443160641
Design,127,0.011833768169959001
Enumeration,114,0.010622437569884458
Backtracking,106,0.00987700335445397
Union Find,84,0.007827059262020127
Linked List,74,0.006895266492732016
Number Theory,74,0.006895266492732016
Ordered Set,69,0.0064293701080879615
Monotonic Stack,67,0.006243011554230339
Segment Tree,64,0.005963473723443906
Staff,58,0.00540439806187104
Trie,56,0.005218039508013418
Senior,54,0.005031680954155795
Divide And Conquer,50,0.004658963846440552
Combinatorics,49,0.0045657845695117405
Queue,48,0.004472605292582929
Bitmask,47,0.004379426015654118
Recursion,46,0.004286246738725307
Memoization,41,0.0038203503540812523
Binary Indexed Tree,40,0.003727171077152441
Geometry,40,0.003727171077152441
Binary Search Tree,39,0.0036339918002236305
Hash Function,38,0.0035408125232948193
String Matching,36,0.003354453969437197
Topological Sort,35,0.0032612746925083863
Shortest Path,34,0.003168095415579575
Senior Staff,32,0.002981736861721953
Mid Level,29,0.00270219903093552
Rolling Hash,29,0.00270219903093552
Game Theory,27,0.0025158404770778977
Interactive,21,0.0019567648155050317
Data Stream,21,0.0019567648155050317
Brainteaser,18,0.0016772269847185985
Monotonic Queue,18,0.0016772269847185985
Randomized,12,0.0011181513231457323
Doubly-Linked List,11,0.0010249720462169214
Merge Sort,11,0.0010249720462169214
Principal,11,0.0010249720462169214
Counting Sort,10,0.0009317927692881103
Iterator,9,0.0008386134923592993
Union-Find,8,0.0007454342154304882
Quickselect,7,0.0006522549385016772
