company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
hulu,Tier_C,5,0.0,40.0,60.0,61.52,55.5,35.0,12.5,2369.8,1251.8,Algorithms
ibm,Tier_A,178,30.337078651685392,59.550561797752806,10.112359550561798,59.56573033707865,60.15,45.43539325842696,37.5,9392.598870056498,1015.0508474576271,Algorithms
iit-bombay,Tier_C,1,0.0,100.0,0.0,80.3,80.3,12.5,12.5,2372.0,222.0,Algorithms
imc,Tier_C,6,0.0,50.0,50.0,55.11666666666667,53.05,47.916666666666664,50.0,5104.333333333333,439.1666666666667,Algorithms
impact-analytics,Tier_C,1,100.0,0.0,0.0,56.8,56.8,87.5,87.5,33097.0,1278.0,Algorithms
impetus,Tier_C,1,100.0,0.0,0.0,62.8,62.8,62.5,62.5,16629.0,19781.0,Algorithms
increff,Tier_C,1,0.0,100.0,0.0,53.2,53.2,37.5,37.5,8915.0,663.0,Algorithms
indeed,Tier_C,7,42.857142857142854,42.857142857142854,14.285714285714286,63.542857142857144,65.9,48.214285714285715,25.0,1786.7142857142858,696.7142857142857,Algorithms
info-edge,Tier_C,8,12.5,75.0,12.5,58.449999999999996,58.4,48.4375,37.5,7249.5,542.5,Algorithms
informatica,Tier_C,2,0.0,100.0,0.0,58.45,58.45,50.0,50.0,14457.0,691.0,Algorithms
infosys,Tier_A,172,25.58139534883721,54.06976744186046,20.348837209302324,56.200581395348834,56.15,47.31104651162791,43.75,11399.613496932516,1424.0429447852762,Algorithms
inmobi,Tier_C,9,0.0,33.333333333333336,66.66666666666667,52.05555555555556,45.1,25.0,25.0,7923.666666666667,407.55555555555554,Algorithms
innovaccer,Tier_C,4,75.0,0.0,25.0,73.32499999999999,77.25,28.125,18.75,1986.0,167.5,Algorithms
instabase,Tier_C,3,0.0,66.66666666666667,33.333333333333336,56.833333333333336,55.5,37.5,37.5,7970.333333333333,174.66666666666666,Algorithms
instacart,Tier_C,9,22.22222222222222,66.66666666666667,11.11111111111111,59.58888888888888,62.2,43.05555555555556,37.5,7648.888888888889,334.44444444444446,Algorithms
intel,Tier_C,22,31.818181818181817,63.63636363636363,4.545454545454546,59.25,58.1,61.93181818181818,62.5,20301.772727272728,1722.6363636363637,Algorithms
interactive-brokers,Tier_C,1,100.0,0.0,0.0,69.3,69.3,12.5,12.5,274.0,289.0,Algorithms
intercom,Tier_C,1,0.0,100.0,0.0,46.1,46.1,12.5,12.5,207.0,301.0,Algorithms
intuit,Tier_B,70,15.714285714285714,61.42857142857143,22.857142857142858,56.907142857142865,56.5,46.964285714285715,43.75,10736.529411764706,1048.2941176470588,Algorithms
ivp,Tier_C,2,0.0,50.0,50.0,39.0,39.0,100.0,100.0,46.0,11.0,Algorithms
ixigo,Tier_C,1,0.0,100.0,0.0,55.4,55.4,100.0,100.0,9610.0,675.0,Algorithms
ixl,Tier_C,17,17.647058823529413,64.70588235294117,17.647058823529413,52.15882352941176,51.4,46.3235294117647,50.0,7800.0,1099.5882352941176,Algorithms
jane-street,Tier_C,14,50.0,28.571428571428573,21.428571428571427,54.68571428571429,52.25,59.82142857142857,62.5,12478.5,1547.5714285714287,Algorithms
jd,Tier_C,1,0.0,0.0,100.0,46.2,46.2,12.5,12.5,525.0,76.0,Algorithms
jeavio,Tier_C,1,100.0,0.0,0.0,58.0,58.0,12.5,12.5,499.0,78.0,Algorithms
jingchi,Tier_C,1,0.0,0.0,100.0,53.3,53.3,12.5,12.5,1161.0,293.0,Algorithms
jio,Tier_C,7,28.571428571428573,42.857142857142854,28.571428571428573,64.48571428571428,69.4,39.285714285714285,37.5,15035.142857142857,517.1428571428571,Algorithms
josh-technology,Tier_B,34,20.58823529411765,70.58823529411765,8.823529411764707,65.10882352941177,66.19999999999999,34.9264705882353,37.5,9885.764705882353,516.4411764705883,Algorithms
jpmorgan,Tier_B,72,31.944444444444443,58.333333333333336,9.722222222222221,61.016666666666666,60.35,45.486111111111114,37.5,9451.408450704226,626.6338028169014,Algorithms
jtg,Tier_C,1,100.0,0.0,0.0,63.8,63.8,62.5,62.5,17835.0,521.0,Algorithms
jump-trading,Tier_C,4,50.0,25.0,25.0,61.3,56.400000000000006,43.75,37.5,6922.0,668.0,Algorithms
juspay,Tier_C,17,11.764705882352942,64.70588235294117,23.529411764705884,49.758823529411764,49.4,48.529411764705884,62.5,13194.0,671.8125,Algorithms
kakao,Tier_C,2,0.0,50.0,50.0,51.85,51.85,100.0,100.0,389.0,65.0,Algorithms
karat,Tier_C,12,33.333333333333336,58.333333333333336,8.333333333333334,55.81666666666666,52.650000000000006,54.166666666666664,50.0,11350.583333333334,1017.75,Algorithms
kickdrum,Tier_C,3,0.0,100.0,0.0,54.56666666666666,52.9,33.333333333333336,25.0,8754.333333333334,1354.6666666666667,Algorithms
